GAME_ID	HOME_TEAM_ABBREVIATION	VISITOR_TEAM_ABBREVIATION	PLAYER_ID_1	PLAYER_NAME_1	PLAYER_TEAM_ABBREVIATION_1	PLAYER_stats_1	PLAYER_rank_1	PLAYER_ID_2	PLAYER_NAME_2	PLAYER_TEAM_ABBREVIATION_2	PLAYER_stats_2	PLAYER_rank_2	PLAYER_ID_3	PLAYER_NAME_3	PLAYER_TEAM_ABBREVIATION_3	PLAYER_stats_3	PLAYER_rank_3	PLAYER_ID_4	PLAYER_NAME_4	PLAYER_TEAM_ABBREVIATION_4	PLAYER_stats_4	PLAYER_rank_4	PLAYER_ID_5	PLAYER_NAME_5	PLAYER_TEAM_ABBREVIATION_5	PLAYER_stats_5	PLAYER_rank_5	PLAYER_ID_6	PLAYER_NAME_6	PLAYER_TEAM_ABBREVIATION_6	PLAYER_stats_6	PLAYER_rank_6	PLAYER_ID_7	PLAYER_NAME_7	PLAYER_TEAM_ABBREVIATION_7	PLAYER_stats_7	PLAYER_rank_7	PLAYER_ID_8	PLAYER_NAME_8	PLAYER_TEAM_ABBREVIATION_8	PLAYER_stats_8	PLAYER_rank_8	PLAYER_ID_9	PLAYER_NAME_9	PLAYER_TEAM_ABBREVIATION_9	PLAYER_stats_9	PLAYER_rank_9	PLAYER_ID_10	PLAYER_NAME_10	PLAYER_TEAM_ABBREVIATION_10	PLAYER_stats_10	PLAYER_rank_10
0022100618	IND	BOS	1627759	Jaylen Brown	BOS	34	1	1628369	Jayson Tatum	BOS	33	2	203471	Dennis Schroder	BOS	23	3	1626167	Myles Turner	IND	18	4	1627734	Domantas Sabonis	IND	17	5	1627747	Caris LeVert	IND	16	6	203200	Justin Holiday	IND	13	7	1629052	Oshae Brissett	IND	8	8	201143	Al Horford	BOS	8	9	1627763	Malcolm Brogdon	IND	6	10
0022100619	PHI	CHA	203954	Joel Embiid	PHI	31	1	202330	Gordon Hayward	CHA	30	2	1626179	Terry Rozier	CHA	22	3	1628970	Miles Bridges	CHA	21	4	202699	Tobias Harris	PHI	17	5	1627788	Furkan Korkmaz	PHI	14	6	1630163	LaMelo Ball	CHA	13	7	1628998	Cody Martin	CHA	11	8	203552	Seth Curry	PHI	10	9	1630178	Tyrese Maxey	PHI	10	10
0022100620	WAS	ORL	1628398	Kyle Kuzma	WAS	19	1	1630175	Cole Anthony	ORL	19	2	203915	Spencer Dinwiddie	WAS	17	3	203082	Terrence Ross	ORL	17	4	1626149	Montrezl Harrell	WAS	16	5	201577	Robin Lopez	ORL	16	6	203526	Raul Neto	WAS	15	7	1630532	Franz Wagner	ORL	14	8	203914	Gary Harris	ORL	14	9	203484	Kentavious Caldwell-Pope	WAS	12	10
0022100621	ATL	MIA	1629639	Tyler Herro	MIA	21	1	1628997	Caleb Martin	MIA	18	2	1628381	John Collins	ATL	16	3	203992	Bogdan Bogdanovic	ATL	15	4	1629027	Trae Young	ATL	15	5	1629631	De'Andre Hunter	ATL	15	6	1629130	Duncan Robinson	MIA	14	7	1629216	Gabe Vincent	MIA	14	8	1630209	Omer Yurtseven	MIA	13	9	1629622	Max Strus	MIA	11	10
0022100622	NYK	DAL	1629628	RJ Barrett	NYK	32	1	1629029	Luka Doncic	DAL	21	2	1629011	Mitchell Robinson	NYK	19	3	203944	Julius Randle	NYK	17	4	1628973	Jalen Brunson	DAL	14	5	203095	Evan Fournier	NYK	13	6	203501	Tim Hardaway Jr.	DAL	13	7	202692	Alec Burks	NYK	10	8	1629656	Quentin Grimes	NYK	9	9	1628467	Maxi Kleber	DAL	9	10
0022100623	SAS	HOU	1627749	Dejounte Murray	SAS	32	1	201569	Eric Gordon	HOU	31	2	1626174	Christian Wood	HOU	23	3	1627854	Bryn Forbes	SAS	21	4	1629640	Keldon Johnson	SAS	18	5	1629645	Kevin Porter Jr.	HOU	18	6	1630224	Jalen Green	HOU	14	7	1627751	Jakob Poeltl	SAS	13	8	1630256	Jae'Sean Tate	HOU	13	9	1630170	Devin Vassell	SAS	12	10
0022100624	UTA	CLE	1630205	Lamar Stevens	CLE	23	1	203903	Jordan Clarkson	UTA	22	2	1628374	Lauri Markkanen	CLE	20	3	1629672	Eric Paschall	UTA	18	4	1628378	Donovan Mitchell	UTA	17	5	201567	Kevin Love	CLE	16	6	1630596	Evan Mobley	CLE	15	7	201144	Mike Conley	UTA	12	8	1628386	Jarrett Allen	CLE	12	9	1629636	Darius Garland	CLE	11	10
0022100625	CHI	BKN	201142	Kevin Durant	BKN	27	1	201935	James Harden	BKN	25	2	203897	Zach LaVine	CHI	22	3	201988	Patty Mills	BKN	21	4	1630549	Day'Ron Sharpe	BKN	20	5	201942	DeMar DeRozan	CHI	19	6	1629632	Coby White	CHI	16	7	202696	Nikola Vucevic	CHI	14	8	1628366	Lonzo Ball	CHI	9	9	1630556	Kessler Edwards	BKN	9	10
0022100626	SAC	LAL	2544	LeBron James	LAL	34	1	1628368	De'Aaron Fox	SAC	29	2	203084	Harrison Barnes	SAC	23	3	1628370	Malik Monk	LAL	22	4	1630559	Austin Reaves	LAL	19	5	1628963	Marvin Bagley III	SAC	16	6	1629002	Chimezie Metu	SAC	14	7	1630169	Tyrese Haliburton	SAC	14	8	1627741	Buddy Hield	SAC	10	9	1629659	Talen Horton-Tucker	LAL	9	10
